filename, language, JSON, XML, Markdown, HTML, JavaScript, TypeScript, SCSS, Swift, comment, blank, total
d:\Quebec\UQAC\Projet\projetCalendrierInterface\README.md, Markdown, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
d:\Quebec\UQAC\Projet\projetCalendrierInterface\angular.json, JSON, 107, 0, 0, 0, 0, 0, 0, 0, 81, 0, 188
d:\Quebec\UQAC\Projet\projetCalendrierInterface\capacitor.config.json, JSON, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
d:\Quebec\UQAC\Projet\projetCalendrierInterface\config.xml, XML, 0, 102, 0, 0, 0, 0, 0, 0, 0, 1, 103
d:\Quebec\UQAC\Projet\projetCalendrierInterface\e2e\protractor.conf.js, JavaScript, 0, 0, 0, 0, 24, 0, 0, 0, 2, 3, 29
d:\Quebec\UQAC\Projet\projetCalendrierInterface\e2e\src\app.e2e-spec.ts, TypeScript, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
d:\Quebec\UQAC\Projet\projetCalendrierInterface\e2e\src\app.po.ts, TypeScript, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
d:\Quebec\UQAC\Projet\projetCalendrierInterface\e2e\tsconfig.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
d:\Quebec\UQAC\Projet\projetCalendrierInterface\ionic.config.json, JSON, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
d:\Quebec\UQAC\Projet\projetCalendrierInterface\ios\App\App\AppDelegate.swift, Swift, 0, 0, 0, 0, 0, 0, 0, 41, 13, 21, 75
d:\Quebec\UQAC\Projet\projetCalendrierInterface\ios\App\App\Assets.xcassets\AppIcon.appiconset\Contents.json, JSON, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116
d:\Quebec\UQAC\Projet\projetCalendrierInterface\ios\App\App\Assets.xcassets\Contents.json, JSON, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
d:\Quebec\UQAC\Projet\projetCalendrierInterface\ios\App\App\Assets.xcassets\Splash.imageset\Contents.json, JSON, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
d:\Quebec\UQAC\Projet\projetCalendrierInterface\ios\App\App\Base.lproj\LaunchScreen.storyboard, XML, 0, 28, 0, 0, 0, 0, 0, 0, 1, 1, 30
d:\Quebec\UQAC\Projet\projetCalendrierInterface\ios\App\App\Base.lproj\Main.storyboard, XML, 0, 18, 0, 0, 0, 0, 0, 0, 1, 1, 20
d:\Quebec\UQAC\Projet\projetCalendrierInterface\ios\App\App\capacitor.config.json, JSON, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
